,Animal,Average Life Span of Animal (in years)
0,African Grey Parrot,50
1,Amazon Parrot,80
2,Angleworm,15
3,Ant (Queen),3
4,Ant (Worker),1.5
5,Asian elephant,40
6,Cockatoo,40
7,Bat,24
8,Bear,40
9,Beaver,20
10,Bison,30
11,Blackbird,18
12,Boa Constrictor,23
13,Bottlenose Dolphin,20
14,Box Turtle,123
15,Bull,28
16,Bull Snake,18
17,Canada Goose,33
18,Carp,100
19,Cat,25
20,Catfish,60
21,Chicken,15
22,Chimpanzee,40
23,North American Cicada,13-17
24,Cow,22
25,Crocodile,45
26,Deer,35
27,Dog,22
28,Eagle,55
29,Elephant,70
30,Elk,22
31,English Sparrow,23
32,Fence Lizard,4
33,Ferret,12
34,Fox,14
35,Galapagos Land Tortoise,193
36,Giant Tortoise,152
37,Goat,15
38,Golden Hamster,4
39,Gorilla,20
40,Great Horned Owl,68
41,Green Frog,10
42,Hog,18
43,Horse,40
44,Human,70-80
45,Humming Bird,8
46,Kangaroo,9
47,Koala,8
48,Lion,35
49,Lobster,15
50,Macaw,50
51,Mountain Lion,20
52,Mouse,4
53,Newt,7
54,Opossum,4
55,Parrot,80
56,Polar bear,20
57,Porcupine,20
58,Quail,6
59,Rhinoceros,40
60,Salamander,11
61,Sea Lion,14
62,Tasmanian Tiger,7
63,Wombat,15
64,Wolf,18
